State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound_1,90% CI Upper Bound_2,"Poverty Estimate, Age 0-17",90% CI Lower Bound_3,90% CI Upper Bound_4,"Poverty Percent, Age 0-17",90% CI Lower Bound_5,90% CI Upper Bound_6,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound_7,90% CI Upper Bound_8,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound_9,90% CI Upper Bound_10,Median Household Income,90% CI Lower Bound_11,90% CI Upper Bound_12,"Poverty Estimate, Age 0-4",90% CI Lower Bound_13,90% CI Upper Bound_14,"Poverty Percent, Age 0-4",90% CI Lower Bound_15,90% CI Upper Bound_16
0,0,US,United States,38371394,38309115,38433673,11.9,11.9,11.9,11204423,11176652,11232194,15.7,15.7,15.7,7798566,7778138,7818994,14.9,14.9,14.9,67340,67251,67429,"3,146,325","3,133,736","3,158,914",16.8,16.7,16.9
1,0,AL,Alabama,714568,695249,733887,14.9,14.5,15.3,222934,213738,232130,20.9,20,21.8,152810,144819,160801,19.7,18.7,20.7,53958,53013,54903,"66,169","61,541","70,797",23.3,21.7,24.9
1,1,AL,Autauga County,6242,4930,7554,11.2,8.8,13.6,1912,1327,2497,14.9,10.3,19.5,1378,926,1830,14.5,9.7,19.3,67565,59132,75998,.,.,.,.,.,.
1,3,AL,Baldwin County,20189,15535,24843,8.9,6.8,11,5907,3802,8012,12.4,8,16.8,4192,2677,5707,11.8,7.5,16.1,71135,66540,75730,.,.,.,.,.,.
1,5,AL,Barbour County,5548,4210,6886,25.5,19.3,31.7,1857,1291,2423,37.5,26.1,48.9,1303,888,1718,35.8,24.4,47.2,38866,33510,44222,.,.,.,.,.,.
1,7,AL,Bibb County,3549,2712,4386,17.8,13.6,22,941,663,1219,21.9,15.4,28.4,681,481,881,22.1,15.6,28.6,50907,43627,58187,.,.,.,.,.,.
1,9,AL,Blount County,7525,6034,9016,13.1,10.5,15.7,2456,1877,3035,18.9,14.4,23.4,1515,1069,1961,15.8,11.1,20.5,55203,47820,62586,.,.,.,.,.,.
1,11,AL,Bullock County,2552,1914,3190,30.8,23.1,38.5,790,544,1036,38.7,26.7,50.7,547,367,727,37,24.8,49.2,33124,27881,38367,.,.,.,.,.,.
1,13,AL,Butler County,3954,2966,4942,20.6,15.4,25.8,1306,887,1725,30.8,20.9,40.7,934,622,1246,29.8,19.9,39.7,42268,36478,48058,.,.,.,.,.,.
1,15,AL,Calhoun County,15915,12764,19066,14.5,11.6,17.4,3963,2422,5504,16.7,10.2,23.2,2885,1730,4040,16.7,10,23.4,50259,45055,55463,.,.,.,.,.,.
